id,text,label,Translated
3268,Indha ariya kandupidippin moolam neenga solla varum karuthu?,0,Indha Ariya Kandupidippin Moolam neenga solla varum karuthu?
6239, @vijayakumarp7959  unmai therincha nee pesu,0,@vijayakumarp7959 unmai therincha nee pesu
5859,Inga erukka yella dev... boys  vadakkan vadakkan solli prachanaiya avanungala kelappi vidudanunga eppa kelampidanunga eni Anga erukka velaiya enga erukka dev... Payalunga poi papanunga muthal pottu tholil panravanukkutha vali theriyum antha pakuthi yella velaikku alkitaikkama alayaporanunga,1,Inga erukka yella dev ... boys vadakkan vadakkan solli prachanaiya avanungala kelappi vidudanunga eppa kelampidanunga eni anga angu pottu tholil panravanukkutha vali theriyum antha pakuthi yella velaikku alkitaikkama alayaporanunga
3519,பீகாரி பிரசாந்த் கிஷோரிடம் கொடுத்த 350 கோடியை எப்படி வாங்கறது .அதான் இப்படி,1,How to buy 350 crores given to Bihari Prashant Kishore.
5136,Mumbai Bangalore la 80% percentage outsiders,1,Mumbai Bangalore la 80% percentage outsiders
3166,"யோவ் முதல்ல புரிஞ்சிக்க சிங்கப்பூர், மலேசிய Developed Country... And INDIA la Individual State Development panamaa other state la All Hindi people ah Job ku anuppi viitaa angaa irukkura own state people's ku job poidun basic fundamental rights poooidum and Political ah Tamilnadu wick aagidum... So konjam Realise Pannu Yoosi.. and ivlo years ilaama Why MODI period la ipdi nadakuthu yosi.. DIGITAL India nu summa solrnga so ithu thaaan DIGITAL INDIA VA ????? ALL STATE DEVELOP Aaganum athutha DEVELOP AND DIGITAL INDIA .",1,"Yo Mudulla to understand Singapore, Malaysian Developed Country ... And India La Individual State Development Panamaa Other State La All Hindi People Basic Fundamental Rights Pooidum and Political Ah Tamilnadu Wick Aagidum ... So Konjam Realise Pannu Yoosi Thaaan Digital India VA ????? All State Develop Aaganum Athutha Develop and Digital India."
5581,Elam fake news old news fraud news pota apdthan.pavam entha oorkarana iruntha ena olaikiran sambathikiran.,0,Elam Fake News Old News Fraud News Pota Apdthan.Pavam Entha Oorkarana
1404,வடக்கன் வாய் மூடி இருக்குடா! தமிழா விழித்துக்கொள்! யாரும் அவர்களுக்கு வீடு வாடகைக்கு கொடுக்காதிர்கள்,1,Vadakkan mouth closed! Awake! No one rents them home
1008,paarkkaa rombaa vey kastamaa irukku ...tamilannaa tamil nattulaa irunthu vadakkans adichu thorathuraaa kaalaam vanthudumonnu payamaa irukku daa paarthaa,0,paarkkaa rombaa vey kastamaa irukku ... Tamilannaa Tamil Nattulaa irunthu vadakkans adichu thorathuraa kaalaam vanthudumonnu paarthaa
6659,Iyya cinna vendu kol devar enathula biruvinai pesathigka kallar maravar agamudyar ellorum onnuthan  nammo eppadi pesrathunalathalathan ala aluku ennamalam pesragka mukklathor only,0,Iyya cinna vendu kol devar enathula biruvinai pesathigka kallar agamudyar ellorum onnuthan nammo eppadi pesrathunalathan ala aluku ennamalam pesragka mukklathor only
3675,Ungaluku vantha ratham engaluku vantha thakali chatni ya,0,Ungaluku vantha raatham engaluku vantha thakali chatni ya
1503,"பாணி பூரி காரனோட வாங்கி குடிச்சாவது திருந்துங்கடா சாதி வேறி பிடித்த மட தமிழர்களா,,, சீமான் அண்ணாவுக்கு ஓட்ட போடுங்கடா  பரதெசி நாய்களா..",1,Buy Puri Puri Karanoda Buying Drinking Caste Caste
4474,Harey mera vadakan wale  Definitely Tamilnadu soonly vadakans control this is future,0,Harey Mera Vadakan Wale Definitely Tamilnadu Soonly Vadakans Control This is Future
3746,நீன்க சொல்லறது எல்லாம் பொய் நானும் திருப்புர்தா,0,All that you say is lying
3620,தமிழருக்கு இந்தமாதிரி பாதுகாப்பு கொடுக்காத நாய்களுக்கு.. வடமணிலத்தவருக்கு பாதுகாப்பு கொடுக்கிறீங்க.. மானங்கெட்ட..,1,For dogs who do not give this kind of protection ..
686,7:41 நீயும் செய் டா 40வேலையும் அவன் வந்து செய்யும் போது நீயும் செய் நீ செய்ய மாட்டா வடகன்ஸ் வந்த உனக்கு என் டா,0,7:41 You and Da 40 Work When he comes and you will not do it.
5268,Indha ariya kandupidippin moolam neenga solla varum karuthu?,0,Indha Ariya Kandupidippin Moolam neenga solla varum karuthu?
3054, @tamilstatus4613  oh kudigaraka sangam owner ah nee picha kara payaale,1,@notots4613 µne ¼ Cerworn owner owner
2866,"தாரவி, அசாம், நம்ம ஆளுக 10லச்சம் பேர் வெளிய இருகாங்க own business well settle north indians kku work kudukranga",0,"Taravi, Assam, Our Governance Own Business Well"
4100,It’s true!! Atleast now Tamilians woke up super... I have bad experience with North people... 10 years before When my father searching rented home in Chennai-01 sowkarpet  they openly said no home for Tamilians...  we should never encourage north people...,0,It’s true!! Atleast now Tamilians woke up super... I have bad experience with North people... 10 years before When my father searching rented home in Chennai-01 sowkarpet  they openly said no home for Tamilians...  we should never encourage north people...
4767,திருந்தவே மாட்டிங்களாடா எதுக்கு இந்த பதிவு இப்போ?,0,What is this record now?
1484,ஹிந்தி காரன உடனே வெளியேத்தணும் இல்லனா நாட்டுக்கு பெரும் ஆபத்து. கொரோனா விட மோசமானது,1,Hindi is a major danger to the country immediately. Corona is worse than
1416,தமிழனிடம் இப்படி பேசிய இவனிடம் நஸட்ற ஈடாக ஒருகோடி பணம் வாங்கவேண்டும்,0,Speaking to Tamil
3439,Tamilaga makkalai kurai sollade kattadavela pakradlendu Yella velayum pakran tamilnadu tamil nada irukanumna tamilanukku matum Vela kudu basa puriyada aalta nee Inna Vela vangi kilikka pora  innada pesriya ollu okra ipadikku nam tamilan seemanin vilutugal,1,Tamilga makkalai kurai sollade kattadavla pakradlendu yella velayum pakrannadu tamil nada irukanumna tamilanukku matum vela kudu buriyada Okra iPadikku Nam Tamilan Seemanin Vilutugal
714,தமிழ் நாட்டில் 100 பேர் இருக்கிறோம் இங்கு 100 பேருக்கு வேலை வழங்க தேவையான தொழிற்சாலை இருந்தால் போதுமானது ஆனால் வேண்டும் என்றே 200 பேருக்கு வேலை வழங்க கூடிய தொழிற்சாலை ஏன் தமிழ் நாட்டில் அமைக்க வேண்டும் அப்போதுதான் செயற்க்கையான மனித வள பற்றாக்குறை ஏற்படுகிறது அதனால் வடக்கன்ஸ் தமிழ் நாட்டில் குடியேற்றம் நடை பெறுகிறது இது தெரியாமல் தமிழர்கள் குடிக்கு அடிமையாகி விட்டார்கள் சினிமா பின்னாடி சுற்றுகிறார்கள் என்று நம் மீது பழி போட்டு நம்மையே மூளை சலவை செய்கிறார்கள்.தமிழா விழித்து கொள்,0,"There are 100 people here in Tamil Nadu. If there is a factory for 100 people, it is enough to set up a factory in Tamil Nadu."
499,"Naan Chennai il daan vazhgiren.
Sila vebarighalidamb pesinen.
Solgiraar:tamizharghal somberi aagivittarghal adarku daan nanghal vadakkans vachirukkango.
Sindhiunghal",0,"Naan chennai il daan vazhgiren.
Sila vebarighalidamb pesinen.
Solgiraar: tamizharghal somberi aagivittarghal adarku daan nanghal vadakkans vachirukkango.
Sindhiunghal"
